K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,1.5824345178405828,1.191229571018244,100.0,0.013962531089782714,,,,,,,,,
2.0,Phase0_AnalyticalOU,1.4406383246954237,1.2359241582229665,100.0,0.020844364166259767,,,,,,,,,
4.0,Phase0_AnalyticalOU,1.23505968185316,1.2778107581742018,100.0,0.03959424495697021,,,,,,,,,
8.0,Phase0_AnalyticalOU,1.1560199822027124,1.286129375940494,100.0,0.06901495456695557,,,,,,,,,
16.0,Phase0_AnalyticalOU,1.1295423637283295,1.2965049417683048,100.0,0.13763182163238524,,,,,,,,,
32.0,Phase0_AnalyticalOU,1.1600799642035386,1.3049930291982694,100.0,0.2773579597473145,,,,,,,,,
64.0,Phase0_AnalyticalOU,1.2171402180413566,1.3119843898522319,100.0,0.5440441131591797,,,,,,,,,
128.0,Phase0_AnalyticalOU,1.2782908090851208,1.3243093659353025,100.0,1.1258870840072632,,,,,,,,,
256.0,Phase0_AnalyticalOU,1.3319424448674788,1.3329643104285023,100.0,2.2877785921096803,,,,,,,,,
1.0,Phase0_MethodOfMoments,7.698061285425931,1.3078241803821131,100.0,0.023337459564208983,,,,,,,,,
2.0,Phase0_MethodOfMoments,7.69806229553212,1.3078254529830888,100.0,0.03899564743041992,,,,,,,,,
4.0,Phase0_MethodOfMoments,7.698064515996046,1.3078272033248546,100.0,0.0698132038116455,,,,,,,,,
8.0,Phase0_MethodOfMoments,7.6137206478540715,1.3807883256573694,100.0,0.1269603490829468,,,,,,,,,
16.0,Phase0_MethodOfMoments,7.155879982738634,1.7103755614059455,100.0,0.24324910640716552,,,,,,,,,
64.0,Phase0_MethodOfMoments,4.827330292300982,1.3800161663233437,100.0,0.9660150051116944,,,,,,,,,
256.0,Phase0_MethodOfMoments,4.3653515210112115,1.3076339299491542,100.0,3.800530505180359,,,,,,,,,
1024.0,Phase0_MethodOfMoments,4.468986766495234,1.3193204970770904,100.0,15.709842944145203,,,,,,,,,
4096.0,Phase0_MethodOfMoments,4.606190301769866,1.334241392904682,100.0,66.67438080310822,,,,,,,,,
16.0,Phase1_EnhancedMLE_SmartInit,0.3996416712032967,0.322699036609731,10.0,212.81947033405305,,,,,,,,,
16.0,Phase2_EnhancedMLE,0.3975359957842541,0.30722838313511414,12.5,86.73715925216675,,,,,,,,,
8.0,Phase2_EnhancedMLE,0.4080643728794669,0.37818982819421426,0.0,717.1487146615982,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,1.0282628864952335,1.1668823447398038,50.0,193.49649596214294,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,1.0344411750306273,1.1719442715583803,50.0,64.33726878166199,,,,,,,,,
64.0,Phase2_ExpectedSignature_SmartInit,0.8739625585792986,1.1333035191112377,60.0,43.01936779022217,,,,,,,,,
64.0,Phase2_RescaledSignature_SmartInit,0.8674315802121481,1.1256408442432007,80.0,32.866435170173645,,,,,,,,,
256.0,Phase2_ExpectedSignature_SmartInit,0.7088746803682326,0.9883221559387673,70.0,39.3627026796341,,,,,,,,,
256.0,Phase2_RescaledSignature_SmartInit,0.7013712292793188,0.976550153367834,70.0,19.98296527862549,,,,,,,,,
1024.0,Phase2_ExpectedSignature_SmartInit,0.5601107985895497,0.9426146041084992,100.0,18.561177349090578,,,,,,,,,
1024.0,Phase2_RescaledSignature_SmartInit,0.5531374006347388,0.9318672182351136,100.0,20.598611664772033,,,,,,,,,
4096.0,Phase2_ExpectedSignature_SmartInit,0.6362053455085734,1.028108185466072,100.0,11.37432770729065,,,,,,,,,
4096.0,Phase2_RescaledSignature_SmartInit,0.6662947456788262,1.0822545417353195,100.0,8.299974751472472,,,,,,,,,
