K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.0653369864655785,0.032373886668995905,100.0,0.09504585266113282,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.06136755514898425,0.02981344572148369,100.0,0.023038315773010253,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.05684430325884258,0.029581981879491254,100.0,0.04198760986328125,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.05526636697347653,0.029742794676128528,100.0,0.07579731941223145,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.05460073277147777,0.02981779903087118,100.0,0.14291760921478272,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.05525375693900721,0.03003533688364274,100.0,0.2747646808624268,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.056559791178094954,0.030356328080033513,100.0,0.5664842605590821,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.05791148989022523,0.030723297998822736,100.0,1.1490254163742066,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.059100507452672445,0.030971738934506023,100.0,2.3384426832199097,,,,,,,,,
1.0,Phase0_MethodOfMoments,3.936392033414836,0.30340080907652417,100.0,0.02672841548919678,,,,,,,,,
2.0,Phase0_MethodOfMoments,3.7990606620613816,0.1651351226490884,100.0,0.04268569946289062,,,,,,,,,
4.0,Phase0_MethodOfMoments,3.6258968266951106,0.10494095905600026,100.0,0.0732041597366333,,,,,,,,,
8.0,Phase0_MethodOfMoments,3.5331151267464476,0.08835093036623543,100.0,0.13613588809967042,,,,,,,,,
16.0,Phase0_MethodOfMoments,3.4359330078029773,0.05273088415520404,100.0,0.24833550453186035,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.372441043463362,0.03196677887402302,100.0,0.9922447681427002,,,,,,,,,
256.0,Phase0_MethodOfMoments,3.362137605867538,0.029885286576186675,100.0,3.878621745109558,,,,,,,,,
1024.0,Phase0_MethodOfMoments,3.364347605474124,0.03032530879419725,100.0,15.66281533241272,,,,,,,,,
4096.0,Phase0_MethodOfMoments,3.3673400504298714,0.03089933323636034,100.0,66.22142169475555,,,,,,,,,
16.0,Phase1_EnhancedMLE_SmartInit,0.054526103430199514,0.029791262533346775,60.0,162.39258799552917,,,,,,,,,
16.0,Phase2_EnhancedMLE,0.05432421132243259,0.03162658836008379,75.0,82.7499583363533,,,,,,,,,
8.0,Phase2_EnhancedMLE,0.055333671861267225,0.02087623153247815,0.0,480.96310663223267,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,0.04451579015035924,0.03026980058032686,90.0,103.54017314910888,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,0.04435757336491777,0.03031769301887328,90.0,43.961327004432675,,,,,,,,,
64.0,Phase2_ExpectedSignature_SmartInit,0.045294501248173205,0.029004124223457443,90.0,31.048811531066896,,,,,,,,,
64.0,Phase2_RescaledSignature_SmartInit,0.04526188078857252,0.02897760226978909,100.0,26.369211316108704,,,,,,,,,
256.0,Phase2_ExpectedSignature_SmartInit,0.04500871452328033,0.02889623046611217,100.0,14.533367443084718,,,,,,,,,
256.0,Phase2_RescaledSignature_SmartInit,0.04485879017239632,0.02895545067833492,100.0,15.423816156387328,,,,,,,,,
1024.0,Phase2_ExpectedSignature_SmartInit,0.04836627418450189,0.030110081185856983,100.0,13.184301066398621,,,,,,,,,
1024.0,Phase2_RescaledSignature_SmartInit,0.04839009328775391,0.030160651854119258,100.0,12.648296666145324,,,,,,,,,
4096.0,Phase2_ExpectedSignature_SmartInit,0.05298574158009456,0.02911263657921957,100.0,11.434879493713378,,,,,,,,,
4096.0,Phase2_RescaledSignature_SmartInit,0.052935570378845644,0.029118733335724643,100.0,11.372819423675537,,,,,,,,,
1.0,Phase3_MethodOfMoments,3.936392033414836,0.30340080907652417,100.0,0.02672841548919678,,,,,,,,,
2.0,Phase3_MethodOfMoments,3.7990606620613816,0.1651351226490884,100.0,0.04268569946289062,,,,,,,,,
4.0,Phase3_MethodOfMoments,3.6258968266951106,0.10494095905600026,100.0,0.0732041597366333,,,,,,,,,
8.0,Phase3_MethodOfMoments,3.5331151267464476,0.08835093036623543,100.0,0.13613588809967042,,,,,,,,,
