K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.6870872920422241,0.0880500924226909,100.0,0.012366652488708496,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.6879151755299285,0.08814469150970625,100.0,0.020146393775939943,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.6903519474378418,0.08801551688559162,100.0,0.03460707664489746,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.6944909386782779,0.08855164488121582,100.0,0.06372952461242676,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.7041541500070786,0.08907593479701623,100.0,0.1256638288497925,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.7259781229956974,0.08877439105392035,100.0,0.24384737014770508,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.7561640431748303,0.09537971084611227,100.0,0.4813120365142822,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.7947792693366071,0.10508091680481423,100.0,0.9813745021820068,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.8360971383458107,0.11699144575272233,100.0,1.946491289138794,,,,,,,,,
1.0,Phase0_MethodOfMoments,4.222282815584779,0.3261554094708641,100.0,0.020644640922546385,,,,,,,,,
2.0,Phase0_MethodOfMoments,4.206802441946746,0.31741249373395836,100.0,0.033911728858947755,,,,,,,,,
4.0,Phase0_MethodOfMoments,4.1576429188592625,0.3217178038522398,100.0,0.05913960933685303,,,,,,,,,
8.0,Phase0_MethodOfMoments,4.083372002312045,0.28393975252201414,100.0,0.11180057525634765,,,,,,,,,
16.0,Phase0_MethodOfMoments,3.943249485161151,0.2451074454809537,100.0,0.20764434337615967,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.498226210810631,0.0754485534924554,100.0,0.8082373142242432,,,,,,,,,
256.0,Phase0_MethodOfMoments,3.3404834664200678,0.004434942886315992,100.0,3.2065231084823607,,,,,,,,,
1024.0,Phase0_MethodOfMoments,3.448735830962432,0.04082539753749145,100.0,13.758877062797547,,,,,,,,,
4096.0,Phase0_MethodOfMoments,3.585270647639124,0.09047590318587191,100.0,55.33042638301849,,,,,,,,,
1.0,Phase1_EnhancedMLE_SmartInit,0.6793970706051605,0.0976363433018485,100.0,3.388131093978882,,,,,,,,,
1.0,Phase2_EnhancedMLE,0.6793970706051605,0.0976363433018485,100.0,3.388131093978882,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,0.6716664715899638,0.09588629514939451,80.0,214.28330898284912,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,0.6743700532874637,0.10854685645832204,80.0,31.245143032073976,,,,,,,,,
