K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,1.3297034657889193,0.928842423655383,100.0,0.014161968231201172,,,,,,,,,
2.0,Phase0_AnalyticalOU,1.1785438093547431,0.9317373390369535,100.0,0.02323780059814453,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.9863726083366189,0.9568330127917094,100.0,0.04049184322357178,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.9127386446121728,0.9460074807295448,100.0,0.07350316047668456,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.891429230771266,0.9519036983781356,100.0,0.14102301597595215,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.9246128509281639,0.95863297765209,100.0,0.27586143016815184,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.9836328784923282,0.9621118637333601,100.0,0.5448422193527221,,,,,,,,,
128.0,Phase0_AnalyticalOU,1.0433324529934327,0.9663657534192307,100.0,1.1320708751678468,,,,,,,,,
256.0,Phase0_AnalyticalOU,1.0957009640835613,0.9684039124572585,100.0,2.2569607973098753,,,,,,,,,
1.0,Phase0_MethodOfMoments,7.479292405554273,0.967083576787988,100.0,0.02463405132293701,,,,,,,,,
2.0,Phase0_MethodOfMoments,7.47929121148492,0.9670825959292382,100.0,0.03789856433868408,,,,,,,,,
4.0,Phase0_MethodOfMoments,7.479293738058169,0.9670827160183044,100.0,0.06582386493682861,,,,,,,,,
8.0,Phase0_MethodOfMoments,7.437891861930906,0.9893866969967722,100.0,0.13184714317321777,,,,,,,,,
16.0,Phase0_MethodOfMoments,6.9157341854809005,1.320979215979791,100.0,0.2359684944152832,,,,,,,,,
64.0,Phase0_MethodOfMoments,4.589482820237376,0.9738802711240263,100.0,0.944473123550415,,,,,,,,,
256.0,Phase0_MethodOfMoments,4.147474959309831,0.96710308297744,100.0,3.776594305038452,,,,,,,,,
1024.0,Phase0_MethodOfMoments,4.245158445386565,0.9678827881262789,100.0,15.412758445739746,,,,,,,,,
4096.0,Phase0_MethodOfMoments,4.377247953274068,0.9711030281528656,100.0,66.46796810626984,,,,,,,,,
16.0,Phase1_EnhancedMLE_SmartInit,0.3784057773704177,0.22147081315502853,10.0,228.8716899394989,,,,,,,,,
16.0,Phase2_EnhancedMLE,0.37333113267330376,0.23352889340733696,12.5,90.88052394986153,,,,,,,,,
8.0,Phase2_EnhancedMLE,0.3987043561588735,0.1630600772644471,0.0,780.8363538980484,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,0.8037238818093371,0.861007776983852,50.0,197.24088027477265,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,0.8002596940720121,0.8582715138603161,40.0,71.35362975597381,,,,,,,,,
64.0,Phase2_ExpectedSignature_SmartInit,0.6347138330328186,0.8222332479165758,50.0,41.83091652393341,,,,,,,,,
64.0,Phase2_RescaledSignature_SmartInit,0.6356538179354942,0.823902060884675,50.0,38.842105340957644,,,,,,,,,
256.0,Phase2_ExpectedSignature_SmartInit,0.5193920121120954,0.6396604440507844,60.0,69.95277781486512,,,,,,,,,
256.0,Phase2_RescaledSignature_SmartInit,0.5228375591523354,0.6434969608199707,60.0,37.0889773607254,,,,,,,,,
1024.0,Phase2_ExpectedSignature_SmartInit,0.6018714653978775,0.7458832336901615,90.0,15.055433058738709,,,,,,,,,
1024.0,Phase2_RescaledSignature_SmartInit,0.6009523816273739,0.741168428734144,100.0,11.238796305656432,,,,,,,,,
4096.0,Phase2_ExpectedSignature_SmartInit,0.6378171899981204,0.8284563988174755,100.0,6.820728754997253,,,,,,,,,
4096.0,Phase2_RescaledSignature_SmartInit,0.6408569858654232,0.8327555941187805,100.0,6.549840950965882,,,,,,,,,
1.0,Phase3_MethodOfMoments,7.479292405554273,0.967083576787988,100.0,0.02463405132293701,,,,,,,,,
2.0,Phase3_MethodOfMoments,7.47929121148492,0.9670825959292382,100.0,0.03789856433868408,,,,,,,,,
4.0,Phase3_MethodOfMoments,7.479293738058169,0.9670827160183044,100.0,0.06582386493682861,,,,,,,,,
8.0,Phase3_MethodOfMoments,7.437891861930906,0.9893866969967722,100.0,0.13184714317321777,,,,,,,,,
16.0,Phase3_MethodOfMoments,6.9157341854809005,1.320979215979791,100.0,0.2359684944152832,,,,,,,,,
64.0,Phase3_MethodOfMoments,4.589482820237376,0.9738802711240263,100.0,0.944473123550415,,,,,,,,,
256.0,Phase3_MethodOfMoments,4.147474959309831,0.96710308297744,100.0,3.776594305038452,,,,,,,,,
1024.0,Phase3_MethodOfMoments,4.245158445386565,0.9678827881262789,100.0,15.412758445739746,,,,,,,,,
4096.0,Phase3_MethodOfMoments,4.377247953274068,0.9711030281528656,100.0,66.46796810626984,,,,,,,,,
1.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
2.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
4.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
8.0,OptimalK_Histogram,,,,,2.0,,,,,,,,
16.0,OptimalK_Histogram,,,,,8.0,,,,,,,,
32.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
64.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
128.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
256.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
16.0,Enhanced_MLE_AllResults,0.3784057773704177,0.22147081315502853,10.0,228.8716899394989,10.0,16.0,,,,,,,
,Improvement_Summary,,,,,,16.0,0.3784057773704177,0.5193920121120954,256.0,-37.25794984458381,0.5228375591523354,256.0,-38.16849277132861
