K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.060957278027835585,0.025102933304258668,100.0,0.013064956665039063,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.055902936838812964,0.02278048605064537,100.0,0.021442890167236328,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.05122716893233786,0.023794736496876818,100.0,0.03809821605682373,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.04885782194405036,0.023900983685684808,100.0,0.06941413879394531,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.04792578760057613,0.024144522294937427,100.0,0.13723270893096923,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.04843331567369142,0.024255533075536014,100.0,0.2694788932800293,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.04961067241042834,0.02426169847942557,100.0,0.5492305278778076,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.050860577750773205,0.024255614628481283,100.0,1.1118247509002686,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.05189846324971793,0.024225108529342364,100.0,2.277007269859314,,,,,,,,,
1.0,Phase0_MethodOfMoments,3.96848400096653,0.44944709308394776,100.0,0.02403564453125,,,,,,,,,
2.0,Phase0_MethodOfMoments,3.8060464039921613,0.20907230986496786,100.0,0.03929493427276611,,,,,,,,,
4.0,Phase0_MethodOfMoments,3.6391415484866187,0.17837856998551044,100.0,0.06961357593536377,,,,,,,,,
8.0,Phase0_MethodOfMoments,3.5282917791745705,0.11001920118453337,100.0,0.12905473709106446,,,,,,,,,
16.0,Phase0_MethodOfMoments,3.4341454714544937,0.05676382986781964,100.0,0.2454434633255005,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.3646447831844832,0.024112827162187996,100.0,0.9455698013305665,,,,,,,,,
256.0,Phase0_MethodOfMoments,3.355106969591337,0.025049262966303193,100.0,3.7869665145874025,,,,,,,,,
1024.0,Phase0_MethodOfMoments,3.357192765409619,0.024783617581083092,100.0,15.372964906692506,,,,,,,,,
4096.0,Phase0_MethodOfMoments,3.3600527589294176,0.024455443485583362,100.0,66.57643158435822,,,,,,,,,
