K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,1.5951244469686876,1.132172018854784,100.0,0.014461207389831542,,,,,,,,,
2.0,Phase0_AnalyticalOU,1.3919874032143722,1.035087855481753,100.0,0.0226421594619751,,,,,,,,,
4.0,Phase0_AnalyticalOU,1.0200961870544458,0.9583305153199451,100.0,0.04059154987335205,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.8930210691880527,0.950558707859402,100.0,0.07420179843902588,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.8469061149162853,0.9568679000300541,100.0,0.14082839488983154,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.8714553580592839,0.9624363237030094,100.0,0.27357699871063235,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.9268236734786903,0.9634735555796825,100.0,0.5466643095016479,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.9864719324618078,0.9664031193187547,100.0,1.0821622371673585,,,,,,,,,
256.0,Phase0_AnalyticalOU,1.0400924178503517,0.9685410131614145,100.0,2.186068391799927,,,,,,,,,
1.0,Phase0_MethodOfMoments,7.386057041000934,0.9759824969096087,100.0,0.022491264343261718,,,,,,,,,
2.0,Phase0_MethodOfMoments,7.386056479725982,0.9759828236893546,100.0,0.037152433395385744,,,,,,,,,
4.0,Phase0_MethodOfMoments,7.386055588155301,0.9759822551118336,100.0,0.0652280569076538,,,,,,,,,
8.0,Phase0_MethodOfMoments,7.386055226430796,0.9759825934145622,100.0,0.125823712348938,,,,,,,,,
16.0,Phase0_MethodOfMoments,6.828051221074415,1.2776456135932066,100.0,0.23497438430786133,,,,,,,,,
64.0,Phase0_MethodOfMoments,4.552273557301669,0.9876482399688952,100.0,0.9189117908477783,,,,,,,,,
256.0,Phase0_MethodOfMoments,4.053591052923009,0.9757773023241209,100.0,3.7436527729034426,,,,,,,,,
1024.0,Phase0_MethodOfMoments,4.159327677818018,0.9717167374812137,100.0,15.601600837707519,,,,,,,,,
4096.0,Phase0_MethodOfMoments,4.304453753868604,0.9701349449213045,100.0,68.29853100776673,,,,,,,,,
