K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.6650830491390665,0.08078503159089577,100.0,0.012865614891052247,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.6670016188469013,0.08041857254187346,100.0,0.021043777465820312,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.6712773562190676,0.07988799596260582,100.0,0.0365023136138916,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.6795887929625095,0.08166478207634047,100.0,0.06871581077575684,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.6919270578489274,0.08039922455690238,100.0,0.13035154342651367,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.717175997158139,0.08142964377337092,100.0,0.2595056056976318,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.7571460885075054,0.09280571771560645,100.0,0.5054474830627441,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.8011850599271357,0.10300048342735886,100.0,1.0247577905654908,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.8489710726901671,0.11534107956728817,100.0,2.040739345550537,,,,,,,,,
1.0,Phase0_MethodOfMoments,4.8518220309863,0.6702088137877174,100.0,0.02154242992401123,,,,,,,,,
2.0,Phase0_MethodOfMoments,4.790487030624125,0.6524605230727638,100.0,0.03390936851501465,,,,,,,,,
4.0,Phase0_MethodOfMoments,4.6863117611129175,0.6384673971267892,100.0,0.06043829917907715,,,,,,,,,
8.0,Phase0_MethodOfMoments,4.489611141459386,0.552476793981806,100.0,0.11259870529174805,,,,,,,,,
16.0,Phase0_MethodOfMoments,4.244294005248465,0.48961710715980206,100.0,0.2162212610244751,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.548177347112703,0.11388653008032558,100.0,0.8404511690139771,,,,,,,,,
