K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.5447561503880349,0.003303203400946231,100.0,0.014062118530273438,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.5447908752571159,0.003348283086930031,100.0,0.02204127311706543,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.5448500335853399,0.003343631535482152,100.0,0.03929479122161865,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.5449656628571317,0.003331853811961412,100.0,0.07489967346191406,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.5451514183280309,0.003336241004213402,100.0,0.14690701961517333,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.5455431671300925,0.0034225852949151428,100.0,0.2752631902694702,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.5461232191159386,0.003488685209874054,100.0,0.5447426795959472,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.546860102773844,0.0036609682743306434,100.0,1.0698369979858398,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.5476573068610369,0.003926865970216729,100.0,2.1624136447906492,,,,,,,,,
1.0,Phase0_MethodOfMoments,3.3537953576499624,0.009810911919813555,100.0,0.02373664379119873,,,,,,,,,
2.0,Phase0_MethodOfMoments,3.35295245334788,0.00983213875655075,100.0,0.03759951591491699,,,,,,,,,
4.0,Phase0_MethodOfMoments,3.3516579522979306,0.009396006051833172,100.0,0.06751949787139892,,,,,,,,,
8.0,Phase0_MethodOfMoments,3.349198592826552,0.008110014835382488,100.0,0.12376856803894043,,,,,,,,,
16.0,Phase0_MethodOfMoments,3.345702834893568,0.006308543506863491,100.0,0.23856160640716553,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.336656124378917,0.0015336448649242676,100.0,0.9261217832565307,,,,,,,,,
256.0,Phase0_MethodOfMoments,3.333421356817992,4.935276809201741e-05,100.0,3.672772479057312,,,,,,,,,
1024.0,Phase0_MethodOfMoments,3.3355875067016023,0.0012590530833088225,100.0,15.621998357772828,,,,,,,,,
4096.0,Phase0_MethodOfMoments,3.3383261254415544,0.002822050335471959,100.0,61.8559933423996,,,,,,,,,
1.0,Phase1_EnhancedMLE_SmartInit,0.5392171711107268,0.004777659000472632,100.0,10.228911232948303,,,,,,,,,
1.0,Phase2_EnhancedMLE,0.5392171711107268,0.004777659000472632,100.0,10.228911232948303,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,143.73321192264558,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,27.421247434616088,,,,,,,,,
64.0,Phase2_ExpectedSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,37.696760058403015,,,,,,,,,
64.0,Phase2_RescaledSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,30.495930624008178,,,,,,,,,
256.0,Phase2_ExpectedSignature_SmartInit,0.5447561503880349,0.003303203400946231,80.0,16.744410896301268,,,,,,,,,
256.0,Phase2_RescaledSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,10.11242916584015,,,,,,,,,
1024.0,Phase2_ExpectedSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,8.911451387405396,,,,,,,,,
1024.0,Phase2_RescaledSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,7.038056945800781,,,,,,,,,
4096.0,Phase2_ExpectedSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,10.67962625026703,,,,,,,,,
4096.0,Phase2_RescaledSignature_SmartInit,0.5447561503880349,0.003303203400946231,100.0,6.80390465259552,,,,,,,,,
1.0,Phase3_MethodOfMoments,3.3537953576499624,0.009810911919813555,100.0,0.02373664379119873,,,,,,,,,
2.0,Phase3_MethodOfMoments,3.35295245334788,0.00983213875655075,100.0,0.03759951591491699,,,,,,,,,
4.0,Phase3_MethodOfMoments,3.3516579522979306,0.009396006051833172,100.0,0.06751949787139892,,,,,,,,,
8.0,Phase3_MethodOfMoments,3.349198592826552,0.008110014835382488,100.0,0.12376856803894043,,,,,,,,,
16.0,Phase3_MethodOfMoments,3.345702834893568,0.006308543506863491,100.0,0.23856160640716553,,,,,,,,,
