K,Phase,mean_MSE,std_MSE,convergence_rate,mean_time,count,consensus_k,enhanced_mle_baseline,best_expected_mse,best_expected_k,expected_improvement_pct,best_rescaled_mse,best_rescaled_k,rescaled_improvement_pct
1.0,Phase0_AnalyticalOU,0.07185282322084252,0.031443782930986486,100.0,0.014760684967041016,,,,,,,,,
2.0,Phase0_AnalyticalOU,0.06926947992674734,0.03197530127050716,100.0,0.02483344078063965,,,,,,,,,
4.0,Phase0_AnalyticalOU,0.0656965098452815,0.03239371553886572,100.0,0.03749990463256836,,,,,,,,,
8.0,Phase0_AnalyticalOU,0.06373747241077744,0.03205339985885729,100.0,0.06612269878387451,,,,,,,,,
16.0,Phase0_AnalyticalOU,0.06322902446492637,0.03224289257398816,100.0,0.14281802177429198,,,,,,,,,
32.0,Phase0_AnalyticalOU,0.06388627596368548,0.03230203931510717,100.0,0.2583088636398315,,,,,,,,,
64.0,Phase0_AnalyticalOU,0.06499540831949155,0.03229019034169272,100.0,0.5267904281616211,,,,,,,,,
128.0,Phase0_AnalyticalOU,0.06621696046665525,0.03228659787290195,100.0,1.0426100730895995,,,,,,,,,
256.0,Phase0_AnalyticalOU,0.067306438646916,0.03226420296818995,100.0,2.070459985733032,,,,,,,,,
1.0,Phase0_MethodOfMoments,3.851733486673182,0.2398159213690411,100.0,0.022539591789245604,,,,,,,,,
2.0,Phase0_MethodOfMoments,3.756903492357209,0.21234864954754198,100.0,0.03610339164733887,,,,,,,,,
4.0,Phase0_MethodOfMoments,3.621705457568787,0.12457235244265742,100.0,0.06552460193634033,,,,,,,,,
8.0,Phase0_MethodOfMoments,3.513391817546053,0.07640997266849361,100.0,0.12167441844940186,,,,,,,,,
16.0,Phase0_MethodOfMoments,3.440270776638779,0.04811158954555018,100.0,0.22479853630065919,,,,,,,,,
64.0,Phase0_MethodOfMoments,3.380251139309922,0.0322367956808243,100.0,0.8873257637023926,,,,,,,,,
256.0,Phase0_MethodOfMoments,3.371000831156185,0.03252397522430585,100.0,3.5090106248855593,,,,,,,,,
1024.0,Phase0_MethodOfMoments,3.373018797703355,0.03242517869479506,100.0,14.920974135398865,,,,,,,,,
4096.0,Phase0_MethodOfMoments,3.3756714779522774,0.03230479168704732,100.0,62.731294822692874,,,,,,,,,
16.0,Phase1_EnhancedMLE_SmartInit,0.06315969520564221,0.03229376137806857,100.0,135.17150008678436,,,,,,,,,
16.0,Phase2_EnhancedMLE,0.06552966945243514,0.033707093533739935,100.0,48.73563041005816,,,,,,,,,
8.0,Phase2_EnhancedMLE,0.057629755296458696,0.027956126378544815,100.0,336.8551959991455,,,,,,,,,
16.0,Phase2_ExpectedSignature_SmartInit,0.06315969520564221,0.03229376137806857,90.0,84.35651452541352,,,,,,,,,
16.0,Phase2_RescaledSignature_SmartInit,0.06315969520564221,0.03229376137806857,80.0,31.897858333587646,,,,,,,,,
64.0,Phase2_ExpectedSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,33.56303482055664,,,,,,,,,
64.0,Phase2_RescaledSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,25.81211123466492,,,,,,,,,
256.0,Phase2_ExpectedSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,10.565384125709533,,,,,,,,,
256.0,Phase2_RescaledSignature_SmartInit,0.06315969520564221,0.03229376137806857,90.0,17.162433624267578,,,,,,,,,
1024.0,Phase2_ExpectedSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,10.10568356513977,,,,,,,,,
1024.0,Phase2_RescaledSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,10.858119130134583,,,,,,,,,
4096.0,Phase2_ExpectedSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,10.171803307533263,,,,,,,,,
4096.0,Phase2_RescaledSignature_SmartInit,0.06315969520564221,0.03229376137806857,100.0,11.152217054367066,,,,,,,,,
1.0,Phase3_MethodOfMoments,3.851733486673182,0.2398159213690411,100.0,0.022539591789245604,,,,,,,,,
2.0,Phase3_MethodOfMoments,3.756903492357209,0.21234864954754198,100.0,0.03610339164733887,,,,,,,,,
4.0,Phase3_MethodOfMoments,3.621705457568787,0.12457235244265742,100.0,0.06552460193634033,,,,,,,,,
8.0,Phase3_MethodOfMoments,3.513391817546053,0.07640997266849361,100.0,0.12167441844940186,,,,,,,,,
16.0,Phase3_MethodOfMoments,3.440270776638779,0.04811158954555018,100.0,0.22479853630065919,,,,,,,,,
64.0,Phase3_MethodOfMoments,3.380251139309922,0.0322367956808243,100.0,0.8873257637023926,,,,,,,,,
256.0,Phase3_MethodOfMoments,3.371000831156185,0.03252397522430585,100.0,3.5090106248855593,,,,,,,,,
1024.0,Phase3_MethodOfMoments,3.373018797703355,0.03242517869479506,100.0,14.920974135398865,,,,,,,,,
4096.0,Phase3_MethodOfMoments,3.3756714779522774,0.03230479168704732,100.0,62.731294822692874,,,,,,,,,
1.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
2.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
4.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
8.0,OptimalK_Histogram,,,,,3.0,,,,,,,,
16.0,OptimalK_Histogram,,,,,7.0,,,,,,,,
32.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
64.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
128.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
256.0,OptimalK_Histogram,,,,,0.0,,,,,,,,
16.0,Enhanced_MLE_AllResults,0.06315969520564221,0.03229376137806857,100.0,135.17150008678436,10.0,16.0,,,,,,,
,Improvement_Summary,,,,,,16.0,0.06315969520564221,0.06315969520564221,16.0,0.0,0.06315969520564221,16.0,0.0
