regime,K,MSE
"Slow Reversion, Low Volatility",64,0.024534422858125255
"Slow Reversion, Low Volatility",128,0.008126773813086257
"Slow Reversion, Low Volatility",256,0.001611832328259872
"Slow Reversion, Low Volatility",512,0.0004550923395871434
"Slow Reversion, Low Volatility",1024,9.81620443034294e-05
"Slow Reversion, Low Volatility",2048,2.5899376500285362e-05
"Slow Reversion, Low Volatility",4096,7.955976982649762e-06
"Slow Reversion, Low Volatility",8192,1.962427948346652e-06
"Fast Reversion, Low Volatility",64,0.573523522459875
"Fast Reversion, Low Volatility",128,0.4543970897129128
"Fast Reversion, Low Volatility",256,0.18688112870523071
"Fast Reversion, Low Volatility",512,0.07681383906134528
"Fast Reversion, Low Volatility",1024,0.024136827994212694
"Fast Reversion, Low Volatility",2048,0.007605293571799676
"Fast Reversion, Low Volatility",4096,0.0014266530737290356
"Fast Reversion, Low Volatility",8192,0.0004506735718910751
"Slow Reversion, High Volatility",64,25.80477516312499
"Slow Reversion, High Volatility",128,0.7138355817988284
"Slow Reversion, High Volatility",256,0.04123921470064047
"Slow Reversion, High Volatility",512,0.0037967742782073575
"Slow Reversion, High Volatility",1024,0.00035570127002096255
"Slow Reversion, High Volatility",2048,6.4248231129892e-05
"Slow Reversion, High Volatility",4096,1.2080068433050838e-05
"Slow Reversion, High Volatility",8192,2.655726104657398e-06
"Fast Reversion, High Volatility",64,8.215364963887714
"Fast Reversion, High Volatility",128,1.3172154310181856
"Fast Reversion, High Volatility",256,0.3322690206578352
"Fast Reversion, High Volatility",512,0.10089822348656588
"Fast Reversion, High Volatility",1024,0.023804242624881313
"Fast Reversion, High Volatility",2048,0.00607004737805833
"Fast Reversion, High Volatility",4096,0.0017165574545180823
"Fast Reversion, High Volatility",8192,0.000479463963081852
