M,N,K,Standard_MSE,Rescaled_MSE
2,8,64,0.03576539756842198,0.004315434972399603
2,16,256,0.009731827594222591,0.00034578325128919356
2,32,1024,0.0026691382947062565,3.254076750927545e-05
2,64,4096,0.0006218632377927906,4.053637718603021e-06
4,8,64,0.037907361326178564,0.011649693979659998
4,16,256,0.009833166722989638,0.0009467356924931784
4,32,1024,0.0027196692597570207,7.669747599186318e-05
4,64,4096,0.0005760440588037628,8.152411143166214e-06
6,8,64,0.030951319455953755,0.0627016199888485
6,16,256,0.009952794665399571,0.0015774534900072684
6,32,1024,0.0028979016069559504,0.00015830260595866267
6,64,4096,0.0005341700478867278,8.383451613209676e-06
8,8,64,0.03880448944315675,0.03263055783340339
8,16,256,0.009815800093268207,0.0027033089489487904
8,32,1024,0.002431325305967461,0.00014358633152026202
8,64,4096,0.0007777684375892347,3.690099226877733e-05
